000050	72863.5938
000100	32089.6230
000150	16885.6211
000200	8853.8076
000250	6497.0649
000300	5167.5859
000350	4489.3867
000400	4056.4387
000450	3631.4019
000500	3447.5964
000550	3244.7324
000600	3111.1895
000650	2975.7131
000700	2864.6697
000750	2811.4456
000800	2746.6416
000850	2713.5156
000900	2621.1692
000950	2606.7029
001000	2589.7422
001050	2538.8611
001100	2541.5730
001150	2481.5166
001200	2423.2705
001250	2374.5366
001300	2386.8438
001350	2348.4424
001400	2348.7742
001450	2334.5762
001500	2296.4548
001550	2331.2996
001600	2312.2151
001650	2300.2769
001700	2285.6743
001750	2260.0569
001800	2275.9324
001850	2266.6621
001900	2264.9910
001950	2240.8096
002000	2245.7314
002050	2257.3643
002100	2259.6611
002150	2218.9263
002200	2249.5630
002250	2254.4666
002300	2189.0305
002350	2252.8352
002400	2214.9763
002450	2215.4741
002500	2205.9001
