000050	40937.8789
000100	12440.4541
000150	10295.5068
000200	9110.0010
000250	8148.0747
000300	6611.4761
000350	3881.8462
000400	3073.8088
000450	2618.4666
000500	2365.1675
000550	2103.6826
000600	1936.6119
000650	1818.7640
000700	1704.1678
000750	1631.1136
000800	1567.1962
000850	1498.3651
000900	1459.3856
000950	1438.5848
001000	1406.1819
001050	1364.1731
001100	1330.8079
001150	1308.1686
001200	1296.1416
001250	1292.0474
001300	1267.8396
001350	1260.8948
001400	1246.2505
001450	1241.2872
001500	1240.5883
001550	1216.9629
001600	1206.7444
001650	1194.1047
001700	1197.5227
001750	1202.8438
001800	1200.2173
001850	1202.8472
001900	1179.8309
001950	1183.4963
002000	1190.4126
002050	1176.3419
002100	1172.5757
002150	1189.5206
002200	1182.0664
002250	1198.8235
002300	1174.7053
002350	1177.6593
002400	1172.0779
002450	1172.1339
002500	1181.4073
002550	1176.8689
002600	1185.1992
002650	1181.5275
002700	1178.9489
002750	1163.4415
002800	1181.4883
002850	1161.4204
002900	1165.8297
002950	1157.5236
003000	1190.1682
003050	1174.9949
003100	1164.8326
003150	1167.1793
003200	1168.5729
003250	1168.4846
003300	1158.3199
003350	1167.7161
003400	1170.7639
003450	1186.7640
003500	1182.0100
003550	1174.1772
003600	1176.1453
003650	1154.2034
003700	1178.6826
003750	1181.9957
003800	1173.4553
003850	1168.7808
003900	1181.6255
003950	1172.6044
004000	1161.3094
004050	1173.3180
004100	1172.5637
004150	1168.2305
004200	1161.4808
004250	1176.9700
004300	1177.1608
004350	1168.9962
004400	1156.4907
004450	1165.8494
004500	1172.2808
004550	1190.1689
004600	1171.7163
004650	1162.0026
004700	1170.0249
004750	1181.8662
004800	1167.8180
004850	1161.4155
004900	1166.9071
004950	1175.5480
005000	1177.7479
